title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 1975
Willow, Ron Howard, 1988
<<<<<<< HEAD
Psycho, Alfred Joseph Hitchcock, 1960
=======
Psycho, Alfred Hitchcock, 1960
>>>>>>> f137d5605aa40ccf3a815181323ff4677a042e9d

